x,y,gene
18192,59151,AAK1
18192,59151,AAK1
18192,59151,AAK1
18192,59151,AAK1
18201,60443,AAK1
18207,59836,AAK1
18208,58745,AAK1
18210,60279,AAK1
18223,59954,AAK1
18223,58877,AAK1
18223,58877,AAK1
18224,60763,AAK1
18228,59341,AAK1
18232,60121,AAK1
18238,59429,AAK1
18241,58378,AAK1
18246,58759,AAK1
18246,58759,AAK1
18249,59463,AAK1
18250,59706,AAK1
18251,59342,AAK1
18252,60742,AAK1
18257,60167,AAK1
18259,60743,AAK1
18259,60743,AAK1
18260,59338,AAK1
18268,60459,AAK1
18283,58598,AAK1
18291,59832,AAK1
18292,59435,AAK1
18292,59435,AAK1
18307,59899,AAK1
18307,60543,AAK1
18310,58354,AAK1
18316,59494,AAK1
18316,59494,AAK1
18316,59494,AAK1
18322,58620,AAK1
18325,60397,AAK1
18328,59529,AAK1
18328,60307,AAK1
18332,59793,AAK1
18333,59623,AAK1
18340,60158,AAK1
18351,60541,AAK1
18351,60310,AAK1
18353,59389,AAK1
18361,59075,AAK1
18363,60339,AAK1
18376,60246,AAK1
18376,60246,AAK1
18376,60246,AAK1
18376,60246,AAK1
18376,60240,AAK1
18378,59678,AAK1
18401,59362,AAK1
18412,60216,AAK1
18418,59573,AAK1
18423,59101,AAK1
18426,60519,AAK1
18429,60345,AAK1
18437,58680,AAK1
18444,60609,AAK1
18445,58856,AAK1
18445,58856,AAK1
18446,60564,AAK1
18446,60564,AAK1
18446,60564,AAK1
18448,59698,AAK1
18448,59698,AAK1
18451,59850,AAK1
18462,60001,AAK1
18498,60065,AAK1
18504,58708,AAK1
18505,60498,AAK1
18517,60380,AAK1
18521,60771,AAK1
18524,59522,AAK1
18552,59495,AAK1
18558,60432,AAK1
18569,59552,AAK1
18571,60378,AAK1
18571,59155,AAK1
18578,59137,AAK1
18585,59392,AAK1
18587,60499,AAK1
18593,59183,AAK1
18595,59571,AAK1
18596,59149,AAK1
18596,59149,AAK1
18596,59571,AAK1
18602,59133,AAK1
18607,60208,AAK1
18616,59039,AAK1
18616,59039,AAK1
18622,59819,AAK1
18625,59389,AAK1
18633,58819,AAK1
18649,59771,AAK1
18653,58797,AAK1
18674,58713,AAK1
18692,59242,AAK1
18692,59242,AAK1
18692,59242,AAK1
18692,59242,AAK1
18692,59242,AAK1
18714,58736,AAK1
18732,58485,AAK1
18733,58991,AAK1
18735,60146,AAK1
18745,59399,AAK1
18746,59399,AAK1
18749,58473,AAK1
18753,60387,AAK1
18767,60765,AAK1
18767,60765,AAK1
18768,60759,AAK1
18768,59828,AAK1
18768,59828,AAK1
18771,60081,AAK1
18780,58781,AAK1
18789,58473,AAK1
18791,60358,AAK1
18796,59998,AAK1
18797,59284,AAK1
18803,60090,AAK1
18812,58389,AAK1
18818,60819,AAK1
18823,58975,AAK1
18824,58862,AAK1
18836,58386,AAK1
18837,58855,AAK1
18842,59548,AAK1
18842,59548,AAK1
18869,59287,AAK1
18869,60548,AAK1
18877,60662,AAK1
18877,60248,AAK1
18877,60248,AAK1
18879,59354,AAK1
18881,58786,AAK1
18881,58786,AAK1
18881,58786,AAK1
18891,60282,AAK1
18892,59175,AAK1
16678,59816,AAMDC
16678,59816,AAMDC
16775,59315,AAMDC
16778,58885,AAMDC
16802,60697,AAMDC
16802,60697,AAMDC
16802,60697,AAMDC
16834,59576,AAMDC
16843,59590,AAMDC
16843,59590,AAMDC
16844,60542,AAMDC
16844,60542,AAMDC
16844,60542,AAMDC
16857,60514,AAMDC
16860,60770,AAMDC
16864,58883,AAMDC
16930,58437,AAMDC
16937,59299,AAMDC
16951,59873,AAMDC
16977,60337,AAMDC
17033,58377,AAMDC
17049,59180,AAMDC
17049,59180,AAMDC
17049,59180,AAMDC
17088,59665,AAMDC
17088,59665,AAMDC
17088,59665,AAMDC
17088,59665,AAMDC
17088,59665,AAMDC
17095,58371,AAMDC
17101,59787,AAMDC
17125,60184,AAMDC
17129,60751,AAMDC
17169,58930,AAMDC
17223,60617,AAMDC
17233,60154,AAMDC
17267,59034,AAMDC
17352,59519,AAMDC
17365,60026,AAMDC
17414,59516,AAMDC
17414,59516,AAMDC
17434,58828,AAMDC
17434,58828,AAMDC
17465,60432,AAMDC
17496,58388,AAMDC
17515,60775,AAMDC
17519,60082,AAMDC
17524,58751,AAMDC
17529,59124,AAMDC
17565,59369,AAMDC
17587,58820,AAMDC
17617,59137,AAMDC
17617,59137,AAMDC
17622,60689,AAMDC
17655,59720,AAMDC
17705,58775,AAMDC
17707,59928,AAMDC
17724,59656,AAMDC
17750,59629,AAMDC
17750,59629,AAMDC
17750,59629,AAMDC
17750,59629,AAMDC
17753,60090,AAMDC
17778,60821,AAMDC
17778,60821,AAMDC
17806,60639,AAMDC
17840,59220,AAMDC
17878,59526,AAMDC
17878,59526,AAMDC
17878,59526,AAMDC
17932,59977,AAMDC
17966,58895,AAMDC
18029,59854,AAMDC
18054,59135,AAMDC
18085,59669,AAMDC
18200,59976,AAMDC
18230,58724,AAMDC
18230,58724,AAMDC
18230,58724,AAMDC
18235,59873,AAMDC
18250,60549,AAMDC
18250,60549,AAMDC
18310,60267,AAMDC
18334,60451,AAMDC
18334,60451,AAMDC
18334,60451,AAMDC
18334,60451,AAMDC
18337,60347,AAMDC
18466,58879,AAMDC
18483,58850,AAMDC
18517,58624,AAMDC
18576,59253,AAMDC
18588,60054,AAMDC
18588,60054,AAMDC
18588,60054,AAMDC
18589,59262,AAMDC
18604,59512,AAMDC
18624,58789,AAMDC
18637,59066,AAMDC
18637,59066,AAMDC
18637,59066,AAMDC
18656,59137,AAMDC
18657,58889,AAMDC
18697,59246,AAMDC
18697,59246,AAMDC
18742,60328,AAMDC
18742,60328,AAMDC
18742,60328,AAMDC
18823,59201,AAMDC
18830,58663,AAMDC
18873,59962,AAMDC
18875,59306,AAMDC
16713,59222,AAMP
16745,60538,AAMP
16748,60113,AAMP
16873,58437,AAMP
17085,58881,AAMP
17095,59415,AAMP
17095,59415,AAMP
17116,59696,AAMP
17130,58741,AAMP
17147,60396,AAMP
17234,59286,AAMP
17628,59660,AAMP
17642,60770,AAMP
17669,58794,AAMP
17747,60070,AAMP
17784,59596,AAMP
17794,59749,AAMP
17811,60057,AAMP
17828,59341,AAMP
17892,60812,AAMP
17907,58745,AAMP
17981,59816,AAMP
18079,59325,AAMP
18141,60681,AAMP
18141,60681,AAMP
18190,59227,AAMP
18265,59259,AAMP
18279,58564,AAMP
18382,59596,AAMP
18382,59596,AAMP
18486,60195,AAMP
18487,58762,AAMP
18489,59890,AAMP
18540,59358,AAMP
18660,59548,AAMP
18660,58853,AAMP
18672,60327,AAMP
18673,60791,AAMP
18729,58863,AAMP
18844,60025,AAMP
18866,60008,AAMP
18893,58740,AAMP
16950,59767,AANAT
16765,59260,AAR2
16765,59691,AAR2
16765,59691,AAR2
16945,58367,AAR2
16945,58367,AAR2
16945,58367,AAR2
17350,60398,AAR2
17530,60060,AAR2
17824,60519,AAR2
18042,58405,AAR2
18060,60224,AAR2
18060,60224,AAR2
18133,59325,AAR2
18133,59325,AAR2
18133,59325,AAR2
18825,59254,AAR2
16728,58863,AARS
16760,58648,AARS
16763,59839,AARS
16763,60490,AARS
16773,58644,AARS
16773,58644,AARS
16785,60691,AARS
16806,60495,AARS
16818,59231,AARS
16818,59231,AARS
16871,58595,AARS
16933,60808,AARS
17035,58383,AARS
17051,59453,AARS
17079,60664,AARS
17130,60767,AARS
17147,60541,AARS
17188,58595,AARS
17226,60646,AARS
17226,60646,AARS
17227,59613,AARS
17290,60102,AARS
17292,59119,AARS
17304,59779,AARS
17307,58842,AARS
17311,60608,AARS
17339,59801,AARS
17364,59384,AARS
17386,59464,AARS
17414,59511,AARS
17482,59726,AARS
17483,60712,AARS
17572,60014,AARS
17572,60014,AARS
17585,59459,AARS
17586,60132,AARS
17593,60663,AARS
17625,60198,AARS
17729,59668,AARS
17734,60150,AARS
17763,60717,AARS
17764,58600,AARS
17780,59344,AARS
17789,58945,AARS
17813,58961,AARS
17827,60447,AARS
17832,60804,AARS
17834,59553,AARS
17897,60717,AARS
17913,60751,AARS
17926,59058,AARS
18066,59622,AARS
18074,58461,AARS
18088,60785,AARS
18121,59020,AARS
18144,59340,AARS
18144,59340,AARS
18214,59700,AARS
18250,60350,AARS
18332,60710,AARS
18373,59634,AARS
18384,59403,AARS
18486,59547,AARS
18542,60716,AARS
18618,60219,AARS
18623,60830,AARS
18636,60045,AARS
18670,59459,AARS
18704,60520,AARS
18718,59447,AARS
18746,58321,AARS
18752,59283,AARS
18870,59553,AARS
16817,60054,AARS2
16938,59711,AARS2
17217,59822,AARS2
17275,59083,AARS2
17275,59083,AARS2
17317,59053,AARS2
17317,59053,AARS2
17525,59747,AARS2
17779,59922,AARS2
17806,58714,AARS2
17864,60505,AARS2
17925,59163,AARS2
17981,59645,AARS2
17981,59645,AARS2
17981,59645,AARS2
18244,59905,AARS2
18279,60467,AARS2
18329,60472,AARS2
18329,60472,AARS2
18469,59871,AARS2
18543,59535,AARS2
18543,59535,AARS2
18591,59493,AARS2
18799,60375,AARS2
18806,60081,AARS2
18820,59903,AARS2
16814,59180,AASDH
16905,59303,AASDH
16919,59412,AASDH
17125,59446,AASDH
17149,58654,AASDH
17149,58654,AASDH
17690,60056,AASDH
17751,59981,AASDH
18095,58874,AASDH
18396,59697,AASDH
18533,59484,AASDH
18533,59484,AASDH
18533,59484,AASDH
18737,59275,AASDH
16673,60670,AASDHPPT
16682,59832,AASDHPPT
16682,59832,AASDHPPT
16685,59866,AASDHPPT
16702,58739,AASDHPPT
16725,59371,AASDHPPT
16738,58992,AASDHPPT
16754,58953,AASDHPPT
16754,58953,AASDHPPT
16772,59889,AASDHPPT
16775,59002,AASDHPPT
16777,58996,AASDHPPT
16783,58376,AASDHPPT
16790,60011,AASDHPPT
16794,58949,AASDHPPT
16794,58949,AASDHPPT
16801,59186,AASDHPPT
16806,60039,AASDHPPT
16807,59718,AASDHPPT
16827,59540,AASDHPPT
16828,58606,AASDHPPT
16847,59815,AASDHPPT
16847,59815,AASDHPPT
16855,60317,AASDHPPT
16863,59152,AASDHPPT
16885,58853,AASDHPPT
16918,58800,AASDHPPT
16918,58800,AASDHPPT
16918,58800,AASDHPPT
16946,59981,AASDHPPT
16969,60776,AASDHPPT
16975,60058,AASDHPPT
17079,60670,AASDHPPT
17089,59368,AASDHPPT
17097,59889,AASDHPPT
17106,59349,AASDHPPT
17106,59349,AASDHPPT
17149,60120,AASDHPPT
17153,60538,AASDHPPT
17164,58867,AASDHPPT
17164,58867,AASDHPPT
17188,59671,AASDHPPT
17209,58896,AASDHPPT
17210,60019,AASDHPPT
17223,59760,AASDHPPT
17247,58393,AASDHPPT
17248,60545,AASDHPPT
17252,59305,AASDHPPT
17253,58909,AASDHPPT
17256,60259,AASDHPPT
17267,58468,AASDHPPT
17267,58468,AASDHPPT
17276,58970,AASDHPPT
17292,60532,AASDHPPT
17298,60037,AASDHPPT
17304,59813,AASDHPPT
17304,59813,AASDHPPT
17331,59516,AASDHPPT
17352,59259,AASDHPPT
17373,60587,AASDHPPT
17375,60124,AASDHPPT
17379,59225,AASDHPPT
17379,59225,AASDHPPT
17379,59225,AASDHPPT
17379,59225,AASDHPPT
17379,59225,AASDHPPT
17402,60175,AASDHPPT
17414,60737,AASDHPPT
17423,58845,AASDHPPT
17448,60344,AASDHPPT
17448,60344,AASDHPPT
17462,58607,AASDHPPT
17464,59949,AASDHPPT
17464,59949,AASDHPPT
17475,60572,AASDHPPT
17495,60264,AASDHPPT
17495,60264,AASDHPPT
17502,60273,AASDHPPT
17517,60329,AASDHPPT
17517,60329,AASDHPPT
17531,59463,AASDHPPT
17545,59640,AASDHPPT
17545,59640,AASDHPPT
17591,60658,AASDHPPT
17591,60658,AASDHPPT
17637,60682,AASDHPPT
17637,60682,AASDHPPT
17702,58987,AASDHPPT
17753,59808,AASDHPPT
17753,59808,AASDHPPT
17753,59808,AASDHPPT
17782,59836,AASDHPPT
17784,60817,AASDHPPT
17800,59585,AASDHPPT
17801,58346,AASDHPPT
17802,59349,AASDHPPT
17805,60516,AASDHPPT
17819,58505,AASDHPPT
17822,58437,AASDHPPT
17822,58437,AASDHPPT
17829,58693,AASDHPPT
17838,58647,AASDHPPT
17844,58620,AASDHPPT
17845,60565,AASDHPPT
17852,60741,AASDHPPT
17855,60806,AASDHPPT
17855,60806,AASDHPPT
17873,60285,AASDHPPT
17877,59452,AASDHPPT
17901,59668,AASDHPPT
17904,59920,AASDHPPT
17918,59462,AASDHPPT
17929,60505,AASDHPPT
17943,58683,AASDHPPT
17963,60631,AASDHPPT
17983,59662,AASDHPPT
18019,60106,AASDHPPT
18031,60207,AASDHPPT
18038,60577,AASDHPPT
18038,60577,AASDHPPT
18039,58967,AASDHPPT
18050,58345,AASDHPPT
18054,60423,AASDHPPT
18109,58690,AASDHPPT
18140,59642,AASDHPPT
18140,60496,AASDHPPT
18185,60390,AASDHPPT
18197,59741,AASDHPPT
18200,60350,AASDHPPT
18235,60509,AASDHPPT
18235,60509,AASDHPPT
18238,58611,AASDHPPT
18260,60222,AASDHPPT
18260,58962,AASDHPPT
18284,59956,AASDHPPT
18302,59943,AASDHPPT
18302,59943,AASDHPPT
18313,60404,AASDHPPT
18313,60717,AASDHPPT
18313,60717,AASDHPPT
18313,60717,AASDHPPT
18328,59670,AASDHPPT
18329,60164,AASDHPPT
18356,60164,AASDHPPT
18417,59232,AASDHPPT
18425,60360,AASDHPPT
18469,59081,AASDHPPT
18470,60063,AASDHPPT
18493,60015,AASDHPPT
18527,60267,AASDHPPT
18538,59267,AASDHPPT
18560,60454,AASDHPPT
18564,60012,AASDHPPT
18566,59343,AASDHPPT
18573,59870,AASDHPPT
18584,59178,AASDHPPT
18589,60618,AASDHPPT
18593,60262,AASDHPPT
18593,58516,AASDHPPT
18593,58516,AASDHPPT
18593,58516,AASDHPPT
18593,58516,AASDHPPT
18593,58516,AASDHPPT
18593,58516,AASDHPPT
18600,59311,AASDHPPT
18600,59311,AASDHPPT
18603,60182,AASDHPPT
18617,59744,AASDHPPT
18662,60725,AASDHPPT
18675,60799,AASDHPPT
18678,59363,AASDHPPT
18678,59363,AASDHPPT
18705,59359,AASDHPPT
18708,60051,AASDHPPT
18711,60491,AASDHPPT
18711,60490,AASDHPPT
18730,60503,AASDHPPT
18735,59895,AASDHPPT
18768,59234,AASDHPPT
18774,59869,AASDHPPT
18782,59236,AASDHPPT
18807,59300,AASDHPPT
18829,58448,AASDHPPT
18838,59390,AASDHPPT
18839,60087,AASDHPPT
18839,60087,AASDHPPT
18845,58906,AASDHPPT
18883,60123,AASDHPPT
16715,59303,AASS
16739,60341,AASS
16819,59656,AASS
16819,59656,AASS
16846,58389,AASS
17416,59903,AASS
17619,58452,AASS
17752,59593,AASS
17816,58770,AASS
17911,58406,AASS
18029,60114,AASS
18342,59647,AASS
18370,59915,AASS
18505,58563,AASS
18749,58377,AASS
18765,60239,AASS
18815,58488,AASS
16724,59310,AATF
16791,60805,AATF
16920,60124,AATF
16921,59819,AATF
17114,60765,AATF
17142,58698,AATF
17142,58698,AATF
17142,58698,AATF
17142,58698,AATF
17206,59627,AATF
17262,60761,AATF
17270,59013,AATF
17270,59013,AATF
17290,60068,AATF
17544,60279,AATF
17697,60107,AATF
17937,60445,AATF
17937,60445,AATF
17937,60445,AATF
18017,60257,AATF
18489,60239,AATF
18501,60102,AATF
18558,58578,AATF
18585,60512,AATF
18723,60579,AATF
18779,60307,AATF
18832,58829,AATF
16684,59532,AATK
16684,59532,AATK
16684,59532,AATK
16684,59532,AATK
16692,59611,AATK
16757,59633,AATK
16769,59548,AATK
16796,59830,AATK
16835,59071,AATK
16835,59071,AATK
16871,60634,AATK
16897,59686,AATK
16930,60074,AATK
16949,60169,AATK
16949,60169,AATK
16955,60763,AATK
16979,60282,AATK
16984,58883,AATK
16989,60325,AATK
17000,59345,AATK
17021,58544,AATK
17021,58544,AATK
17032,58471,AATK
17034,60209,AATK
17034,60209,AATK
17083,60635,AATK
17093,58592,AATK
17120,59366,AATK
17170,58382,AATK
17173,60277,AATK
17173,60277,AATK
17173,60277,AATK
17213,59698,AATK
17249,58598,AATK
17277,58387,AATK
17307,59656,AATK
17307,59656,AATK
17368,60813,AATK
17368,60813,AATK
17379,58646,AATK
17379,58542,AATK
17395,59993,AATK
17432,59926,AATK
17436,58330,AATK
17438,60279,AATK
17459,60729,AATK
17460,59561,AATK
17505,60736,AATK
17525,60140,AATK
17646,59448,AATK
17649,58668,AATK
17649,58668,AATK
17771,59354,AATK
17921,60023,AATK
17936,58596,AATK
17975,58574,AATK
18012,58954,AATK
18187,59437,AATK
18237,60748,AATK
18265,59270,AATK
18329,59970,AATK
18343,59942,AATK
